Name,WIGOS ID,Type,Elevation (m),Status,GBON,Latitude,Longitude,OSCAR URL
Cocoa Walk (Bois),0-388-461-78397,Surface AWS,152,Closed,No,18.004371,-77.137979,https://oscar.wmo.int/surface/#/search/station/stationReportDetails/121051
Colbeck,0-388-52-78397,Surface AWS,55,Closed,No,17.95761,-77.135572,https://oscar.wmo.int/surface/#/search/station/stationReportDetails/110929
Cole Gate,0-388-396-78397,Surface AWS,467,Closed,No,18.36305556,-77.0975,https://oscar.wmo.int/surface/#/search/station/stationReportDetails/113861
Cole Gate,0-388-42-78397,Surface AWS,475,Closed,No,18.367879,-77.094771,https://oscar.wmo.int/surface/#/search/station/stationReportDetails/110919
Coley Farm,0-388-720-78397,Surface AWS,213,Closed,No,17.949008,-76.521271,https://oscar.wmo.int/surface/#/search/station/stationReportDetails/127447
Coley Pwd,0-388-721-78397,Surface AWS,122,Closed,No,17.94166667,-76.464444,https://oscar.wmo.int/surface/#/search/station/stationReportDetails/127448
Colonel's Ridge,0-388-120-78397,Surface AWS,579,Unknown,No,18.14247,-77.265462,https://oscar.wmo.int/surface/#/search/station/stationReportDetails/111343
Comfort Castle,0-388-354-78397,Surface AWS,154,Closed,No,18.053969,-76.4138,https://oscar.wmo.int/surface/#/search/station/stationReportDetails/113258
Comma Pen,0-388-64-78397,Surface AWS,260,Closed,No,17.921089,-77.592663,https://oscar.wmo.int/surface/#/search/station/stationReportDetails/110972
Constant Spring,0-388-251-78397,Surface AWS,244,Closed,No,18.060969,-76.788858,https://oscar.wmo.int/surface/#/search/station/stationReportDetails/112408
Constant Spring FP,0-388-252-78397,Surface AWS,244,Closed,No,18.06111111,-76.788889,https://oscar.wmo.int/surface/#/search/station/stationReportDetails/112409
Content,0-388-811-78397,Surface AWS,636,Closed,No,18.177044,-77.999973,https://oscar.wmo.int/surface/#/search/station/stationReportDetails/128135
Cooks Gate,0-388-121-78397,Surface AWS,37,Closed,No,17.90833333,-77.279167,https://oscar.wmo.int/surface/#/search/station/stationReportDetails/111344
Coolavin MV,0-388-301-78397,Surface AWS,671,Closed,No,18.05972222,-77.501667,https://oscar.wmo.int/surface/#/search/station/stationReportDetails/112916
Coolshade,0-388-462-78397,Surface AWS,457,Closed,No,18.123418,-77.076285,https://oscar.wmo.int/surface/#/search/station/stationReportDetails/121052
Coopers Hill,0-388-253-78397,Surface AWS,617,Closed,No,18.067385,-76.85007,https://oscar.wmo.int/surface/#/search/station/stationReportDetails/112410
COOPERS HILL,0-20001-0-78397,Surface AWS,786,Operational,No,18.0666666667,-76.85,https://oscar.wmo.int/surface/#/search/station/stationReportDetails/14116
Corn Ground,0-388-463-78397,Surface AWS,373,Closed,No,18.1725,-77.14472222,https://oscar.wmo.int/surface/#/search/station/stationReportDetails/121053
Cornwall,0-388-625-78397,Surface AWS,191,Closed,No,18.49722222,-77.758333,https://oscar.wmo.int/surface/#/search/station/stationReportDetails/126753
Cornwall,0-388-812-78397,Surface AWS,40,Closed,No,18.25888889,-78.10388889,https://oscar.wmo.int/surface/#/search/station/stationReportDetails/128140
Cottage,0-388-122-78397,Surface AWS,21,Unknown,No,17.82722222,-77.225556,https://oscar.wmo.int/surface/#/search/station/stationReportDetails/111345
Cotton Tree Gully,0-388-123-78397,Surface AWS,21,Closed,No,17.85027778,-77.24083333,https://oscar.wmo.int/surface/#/search/station/stationReportDetails/111350
Cousins Cove,0-388-217-78397,Surface AWS,18,Closed,No,18.41944444,-78.241667,https://oscar.wmo.int/surface/#/search/station/stationReportDetails/112119
Cow Park,0-388-464-78397,Surface AWS,15,Closed,No,17.99444444,-76.901389,https://oscar.wmo.int/surface/#/search/station/stationReportDetails/121054
